Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
RKLB,107.21,Call,110,2026-06-26T16:30:00-05:00,10,"5.25 x 213","5.60 x 1",5.42,149,mid,80700,813,2279,95.42%,0.46914139835254,MLAT,N/A,"14:09:09 ET"
RKLB,107.62,Call,115,2026-06-18T16:30:00-05:00,2,"1.72 x 82","1.97 x 221",1.82,441,mid,80200,1551,9177,143.70%,0.28483177593451,MLET,N/A,"09:38:49 ET"
RKLB,105.5,Call,115,2026-06-18T16:30:00-05:00,2,"1.69 x 31","1.89 x 146",1.79,441,mid,78900,5600,9177,145.80%,0.228679188848,MLET,N/A,"09:40:07 ET"
RKLB,105.5,Call,115,2026-06-18T16:30:00-05:00,2,"1.67 x 70","1.79 x 441",1.79,441,ask,78900,5600,9177,145.80%,0.228679188848,MESL,N/A,"09:40:29 ET"
RKLB,105.5,Call,115,2026-06-18T16:30:00-05:00,2,"1.67 x 52","1.89 x 154",1.78,441,mid,78400,5600,9177,145.80%,0.228679188848,MLET,N/A,"09:40:32 ET"
RKLB,105.5,Call,115,2026-06-18T16:30:00-05:00,2,"1.63 x 23","1.92 x 255",1.78,441,mid,78400,5600,9177,145.80%,0.228679188848,MLAT,N/A,"09:40:01 ET"
RKLB,107.72,Call,125,2026-06-26T16:30:00-05:00,10,"1.68 x 52","1.85 x 21",1.77,441,mid,78000,2631,4142,96.35%,0.19847952900491,MLET,N/A,"14:48:16 ET"
RKLB,105.5,Call,115,2026-06-18T16:30:00-05:00,2,"1.61 x 68","1.85 x 209",1.71,441,mid,75400,5600,9177,145.80%,0.228679188848,MLAT,N/A,"09:40:19 ET"
RKLB,107.155,Call,108,2026-06-26T16:30:00-05:00,10,"6.30 x 77","6.55 x 60",6.3,110,bid,69300,853,200,94.29%,0.51358617664362,ISOI,N/A,"14:20:53 ET"
RKLB,104.435,Call,115,2026-06-18T16:30:00-05:00,2,"1.03 x 34","1.13 x 200",1.09,604,mid,65800,17582,9177,142.25%,0.19469423828008,MLET,N/A,"10:11:34 ET"
RKLB,104.175,Put,101,2026-06-18T16:30:00-05:00,2,"2.82 x 232","2.85 x 29",2.82,232,bid,65400,375,1283,133.00%,-0.3574055769,AUTO,N/A,"09:57:01 ET"
RKLB,107,Call,124,2026-07-02T16:30:00-05:00,16,"2.98 x 31","3.35 x 30",3.23,190,mid,61300,194,31,96.96%,0.26856693373421,MLET,ToOpen,"12:25:55 ET"
RKLB,106.195,Call,109,2026-06-18T16:30:00-05:00,2,"2.90 x 38","3.00 x 57",3,199,ask,59700,618,665,131.63%,0.41416216993726,AUTO,N/A,"11:37:50 ET"
RKLB,107.62,Call,110,2026-06-18T16:30:00-05:00,2,"2.90 x 200","3.15 x 105",2.9,200,bid,58000,487,4199,142.72%,0.4394399978141,AUTO,N/A,"09:38:12 ET"
RKLB,106.73,Call,115,2026-06-18T16:30:00-05:00,2,"1.20 x 182","1.43 x 67",1.31,441,mid,57700,23909,9177,126.40%,0.22698112100636,MLAT,N/A,"13:54:33 ET"
