Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
RKLB,104.845,Put,100,2027-01-15T16:30:00-06:00,211,"25.20 x 1","25.60 x 115",25.21,1250,mid,3151200,1285,1667,94.90%,-0.3275951167,SLCN,N/A,"11:44:24 ET"
RKLB,104.845,Call,130,2026-08-21T16:30:00-05:00,64,"8.95 x 79","9.25 x 1",9.1,1000,mid,910000,1105,1590,96.65%,0.37714916251235,TLCT,N/A,"11:43:38 ET"
RKLB,103.96,Put,103,2026-07-10T16:30:00-05:00,22,"8.20 x 198","8.50 x 600",8.48,600,mid,508800,608,32,89.98%,-0.4363153249,AUTO,ToOpen,"12:15:10 ET"
RKLB,105.11,Call,75,2027-01-15T16:30:00-06:00,211,"42.30 x 601","45.00 x 155",44.33,93,mid,412200,97,1790,96.28%,0.80430210891854,MLET,N/A,"11:14:21 ET"
RKLB,102,Put,105,2026-07-17T16:30:00-05:00,29,"11.75 x 132","12.05 x 38",12.05,341,ask,410900,559,1341,92.75%,-0.4888647999,AUTO,N/A,"10:12:21 ET"
RKLB,105.1002,Call,55,2028-01-21T16:30:00-06:00,582,"68.00 x 606","69.75 x 50",69.75,50,ask,348700,50,1833,93.79%,0.88317331815011,AUTO,N/A,"09:32:00 ET"
RKLB,102.88,Put,80,2026-12-18T16:30:00-06:00,183,"13.80 x 2","14.00 x 325",14,200,ask,280000,207,4478,96.34%,-0.2321944933,AUTO,N/A,"10:01:01 ET"
RKLB,102.88,Call,75,2026-06-18T16:30:00-05:00,0,"25.40 x 350","28.15 x 197",26.8,100,mid,268000,101,1281,0.00%,0,MLET,N/A,"10:01:59 ET"
RKLB,102.88,Call,110,2027-01-15T16:30:00-06:00,211,"26.20 x 237","27.30 x 88",27,99,mid,267300,159,5489,93.60%,0.61507595728175,AUTO,N/A,"10:02:03 ET"
RKLB,105.11,Call,80,2026-06-18T16:30:00-05:00,0,"24.60 x 217","25.90 x 258",25.25,93,mid,234800,209,2625,272.18%,0.97732828009165,MLET,N/A,"11:14:21 ET"
RKLB,102.88,Call,80,2026-06-18T16:30:00-05:00,0,"20.55 x 491","23.15 x 362",21.82,100,mid,218200,113,2625,0.00%,0,MLET,N/A,"10:01:59 ET"
RKLB,104.84,Call,130,2026-07-17T16:30:00-05:00,29,"3.60 x 273","3.75 x 500",3.75,500,ask,187500,932,8353,93.60%,0.25061840705944,AUTO,N/A,"11:03:05 ET"
RKLB,104.99,Call,105,2026-08-21T16:30:00-05:00,64,"17.00 x 1","17.70 x 211",17.11,98,mid,167600,463,710,97.26%,0.58683616502749,MLAT,N/A,"12:01:41 ET"
RKLB,103.79,Put,123,2026-06-18T16:30:00-05:00,0,"19.20 x 133","20.30 x 178",19.71,76,mid,149700,83,79,238.63%,-0.9045162997,MLET,N/A,"10:49:48 ET"
RKLB,104.99,Call,110,2026-08-21T16:30:00-05:00,64,"14.95 x 24","15.20 x 1",15.1,98,mid,147900,200,866,96.13%,0.54047985274363,MLAT,N/A,"12:01:41 ET"
RKLB,102.14,Call,145,2026-12-18T16:30:00-06:00,183,"16.00 x 3","16.50 x 146",16.5,73,ask,120400,75,4889,97.31%,0.44570733126135,AUTO,N/A,"09:54:41 ET"
RKLB,104.4,Put,120,2027-01-15T16:30:00-06:00,211,"38.00 x 472","39.55 x 562",38.81,30,mid,116400,30,300,95.60%,-0.4258667872,MLET,N/A,"10:52:33 ET"
RKLB,104.4,Put,120,2026-12-18T16:30:00-06:00,183,"36.60 x 69","37.90 x 511",37.21,30,mid,111600,30,191,96.83%,-0.438868393,MLET,N/A,"10:52:33 ET"
RKLB,103.53,Call,110,2027-01-15T16:30:00-06:00,211,"27.50 x 51","27.50 x 40",27.5,40,ask,110000,44,5489,95.19%,0.62108871858257,AUTO,N/A,"09:43:50 ET"
RKLB,108.8,Call,109,2026-06-18T16:30:00-05:00,0,"2.20 x 292","2.47 x 62",2.2,437,bid,96100,442,795,107.60%,0.49874488224655,ISOI,N/A,"09:30:15 ET"
RKLB,105.1002,Call,109,2026-06-18T16:30:00-05:00,0,"2.00 x 441","2.46 x 112",2,441,bid,88200,1004,795,99.40%,0.24895986463297,AUTO,N/A,"09:30:19 ET"
RKLB,102.14,Call,105,2026-08-21T16:30:00-05:00,64,"15.30 x 150","16.35 x 226",15.78,50,mid,78900,164,710,98.66%,0.5617782999065,SLAN,N/A,"09:55:10 ET"
RKLB,103.79,Call,100,2026-09-18T16:30:00-05:00,92,"21.20 x 35","21.75 x 117",21.2,35,bid,74200,71,467,94.17%,0.6310722144093,AUTO,N/A,"10:48:20 ET"
RKLB,104.205,Call,175,2027-06-17T16:30:00-05:00,364,"21.85 x 46","23.65 x 11",22.78,32,mid,72800,50,204,93.81%,0.48217882572265,MLAT,N/A,"12:05:46 ET"
RKLB,104.205,Call,160,2027-03-19T16:30:00-05:00,274,"19.65 x 219","21.35 x 124",20.39,35,mid,71300,35,507,95.39%,0.47159920274743,MLET,N/A,"12:05:05 ET"
RKLB,102,Put,95,2026-07-17T16:30:00-05:00,29,"6.75 x 42","7.15 x 42",7,100,mid,70000,197,1800,92.18%,-0.3398945223,AUTO,N/A,"10:13:17 ET"
RKLB,103.025,Call,130,2026-12-18T16:30:00-06:00,183,"20.00 x 35","20.40 x 407",20,35,bid,70000,48,1024,96.10%,0.51050416077751,AUTO,N/A,"10:23:11 ET"
RKLB,104.205,Put,85,2027-03-19T16:30:00-05:00,274,"19.45 x 198","20.45 x 101",19.95,35,mid,69800,36,96,93.74%,-0.2475805688,MLET,N/A,"12:05:05 ET"
RKLB,102.14,Call,150,2027-01-15T16:30:00-06:00,211,"16.60 x 244","17.05 x 40",17.05,40,ask,68200,112,8022,96.14%,0.44813806536805,AUTO,N/A,"09:53:49 ET"
RKLB,101.5004,Call,104,2026-06-18T16:30:00-05:00,0,"0.83 x 66","0.84 x 47",0.83,812,bid,67300,1784,274,87.11%,0.30405918696224,AUTO,N/A,"09:58:39 ET"
RKLB,103.79,Put,100,2026-07-17T16:30:00-05:00,29,"8.60 x 10","9.10 x 342",8.86,76,mid,67300,353,3354,93.57%,-0.3890646071,MLET,N/A,"10:49:48 ET"
RKLB,102,Put,90,2026-08-21T16:30:00-05:00,64,"9.35 x 99","9.80 x 1",9.58,70,mid,67000,167,1213,95.95%,-0.29956153,AUTO,N/A,"10:11:21 ET"
RKLB,103.53,Put,105,2026-06-26T16:30:00-05:00,8,"6.40 x 69","6.65 x 100",6.65,100,ask,66500,118,707,98.79%,-0.507589039,AUTO,N/A,"09:43:27 ET"
RKLB,105.1002,Call,110,2026-06-18T16:30:00-05:00,0,"1.50 x 441","1.83 x 60",1.5,441,bid,66100,2013,4482,97.20%,0.19075524085981,AUTO,N/A,"09:30:49 ET"
RKLB,104.205,Put,80,2027-06-17T16:30:00-05:00,364,"19.80 x 398","21.55 x 356",20.64,32,mid,66000,36,200,92.49%,-0.2186185955,MLAT,N/A,"12:05:46 ET"
RKLB,104.9599,Call,150,2026-07-17T16:30:00-05:00,29,"1.50 x 400","1.61 x 180",1.5,400,bid,60000,982,3490,96.66%,0.12226499317693,AUTO,N/A,"11:38:44 ET"
